,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2
27,DRJ59,11.65,0.019356132,7,39.1164,OUT013,1987,308.9312,38,1,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
28,FDE51,5.925,0.161466534,4,45.5086,OUT010,1998,178.4344,27,0,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
29,FDC14,14.5,0.072221801,3,43.6454,OUT019,1985,125.8362,40,4,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
30,FDV38,19.25,0.170348551,4,55.7956,OUT010,1998,163.7868,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
31,NCS17,18.6,0.080829372,8,96.4436,OUT018,2009,2741.7644,16,3,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
32,FDP33,18.7,0.06613202877895108,13,256.6672,OUT018,2009,3068.0064,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
33,FDO23,17.85,0.06613202877895108,1,93.1436,OUT045,2002,2174.5028,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
34,DRH01,17.5,0.097904029,14,174.8738,OUT046,1997,2085.2856,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False
35,NCX29,10.0,0.089291137,8,146.7102,OUT049,1999,3791.0652,26,9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
36,FDV20,20.2,0.059511812,6,128.0678,OUT027,1985,2797.6916,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
37,DRZ11,8.85,0.113123893,14,122.5388,OUT018,2009,1609.9044,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
38,FDX10,6.385000000000001,0.123111453,13,36.9874,OUT027,1985,388.1614,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
39,FDB34,15.25,0.026480954,13,87.6198,OUT027,1985,2180.495,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
40,FDU02,13.35,0.102511504,4,230.6352,OUT046,1997,3435.528,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False
41,FDK43,9.8,0.02681843,10,126.002,OUT013,1987,2150.534,38,1,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
42,FDA46,13.6,0.117818348,13,192.9136,OUT049,1999,2527.3768,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
43,FDC02,21.35,0.069102831,3,259.9278,OUT018,2009,6768.5228,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
44,FDL50,12.15,0.042277867,3,126.5046,OUT013,1987,373.5138,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
45,FDM39,6.42,0.089498926,4,178.1002,OUT010,1998,358.2004,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
46,NCP05,19.6,0.06613202877895108,8,153.3024,OUT045,2002,2428.8384,23,7,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
47,FDV49,10.0,0.025879577,3,265.2226,OUT045,2002,5815.0972,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
48,FDL12,15.85,0.121632721,0,60.622,OUT046,1997,2576.646,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
49,FDS02,10.195,0.255394896,4,196.8794,OUT019,1985,780.3176,40,4,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
50,NCL17,7.39,0.067779712,8,143.8812,OUT046,1997,3134.5864,28,8,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True
51,FDM40,10.195,0.159803853,5,141.5154,OUT013,1987,850.8924,38,1,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
52,FDR13,9.895,0.028696932,3,117.0492,OUT013,1987,810.9444,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
53,FDA43,10.895,0.065041581,6,196.3794,OUT017,2007,3121.2704,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
54,NCP18,12.15,0.028760013,9,151.4708,OUT017,2007,4815.0656,18,2,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
55,FDK21,7.905,0.010053105,13,249.0408,OUT018,2009,6258.52,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
56,NCX54,9.195,0.048157338,9,106.1622,OUT045,2002,2117.244,23,7,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
57,DRK35,8.365,0.071958197,7,38.0506,OUT049,1999,796.9626,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
58,FDY21,15.1,0.173481304,13,194.511,OUT046,1997,4910.275,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False
59,FDI26,5.94,0.061082177,3,180.0344,OUT019,1985,892.172,40,4,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
60,FDM20,10.0,0.06613202877895108,6,246.9144,OUT018,2009,3185.1872,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
61,FDV27,7.97,0.040071131,10,87.3514,OUT045,2002,1062.6168,23,7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
62,FDF09,6.215,0.012090074,6,38.2848,OUT027,1985,484.7024,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
63,FDY40,15.5,0.15028599,5,51.0692,OUT019,1985,147.8076,40,4,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
64,FDY45,17.5,0.026015519,13,255.8356,OUT027,1985,2543.356,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
65,FDC46,17.7,0.195068226,13,185.4266,OUT010,1998,184.4266,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
66,FDH19,19.35,0.033082215,10,172.5738,OUT035,2004,4865.6664,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
67,FDZ03,13.65,0.078946455,4,186.024,OUT045,2002,1118.544,23,7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
68,DRH37,17.6,0.041700756,14,164.8526,OUT045,2002,2302.3364,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
69,NCI17,8.645,0.143422643,8,95.841,OUT046,1997,2027.361,28,8,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True
70,FDJ58,15.6,0.105296072,13,170.1764,OUT046,1997,3435.528,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
71,FDL12,15.85,0.121531501,0,59.222,OUT013,1987,599.22,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
72,FDH35,18.25,0.06613202877895108,15,164.7526,OUT045,2002,4604.6728,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
73,FDG02,7.855,0.011324862,3,189.6188,OUT017,2007,2285.0256,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
74,NCZ18,7.825,0.186357148,9,254.3698,OUT049,1999,5580.7356,26,9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
75,FDC29,8.39,0.024205661,5,114.0176,OUT046,1997,2290.352,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
76,FDQ10,12.85,0.033230816,13,172.3422,OUT049,1999,1207.0954,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
77,FDN48,13.35,0.113720344,0,89.9804,OUT019,1985,643.1628,40,4,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
78,FDL04,19.0,0.112556507,5,104.9622,OUT017,2007,1587.933,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
79,FDV25,5.905,0.06613202877895108,3,222.5456,OUT045,2002,5305.0944,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
80,FDD58,7.76,0.059352241,13,101.87,OUT046,1997,1697.79,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False
81,FDN04,11.8,0.014087057,5,180.3344,OUT046,1997,1427.4752,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
82,FDV45,16.75,0.045230944,13,187.9556,OUT018,2009,4693.89,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
83,NCL18,18.85,0.293417759,9,194.6136,OUT019,1985,583.2408,40,4,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True
84,FDR12,12.6,0.031382044,0,171.3764,OUT027,1985,3091.9752,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
85,FDG20,15.5,0.12639886,6,177.0028,OUT017,2007,2479.4392,18,2,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
86,FDZ55,6.055,0.025403898,6,160.992,OUT035,2004,2716.464,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
87,FDQ49,20.2,0.039057677,2,155.963,OUT027,1985,3285.723,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
88,FDN33,6.305,0.123115764,13,95.6436,OUT046,1997,661.8052,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
89,FDN27,20.85,0.039624006,10,117.2808,OUT049,1999,1523.3504,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
90,FDW20,20.75,0.040421193,6,122.173,OUT010,1998,369.519,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
91,DRG27,8.895,0.105274111,4,39.9138,OUT049,1999,690.4346,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
92,DRI25,19.6,0.033970195,14,55.1614,OUT045,2002,1381.535,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
93,FDA44,19.7,0.053212652,6,57.893,OUT035,2004,622.523,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
94,NCR17,9.8,0.024378706,8,114.5492,OUT035,2004,1274.3412,21,6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
95,FDU04,7.93,0.009714595,5,120.0414,OUT019,1985,487.3656,40,4,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
96,FDF41,12.15,0.131383762,5,246.046,OUT049,1999,1231.73,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
97,FDB56,8.75,0.07461309,6,187.4556,OUT035,2004,3755.112,21,6,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
98,NCP18,12.15,0.028459761,9,149.9708,OUT027,1985,4363.6532,40,5,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
99,FDB56,8.75,0.074627201,6,187.8556,OUT046,1997,1314.2892,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
100,FDT28,13.3,0.063695084,5,151.0708,OUT045,2002,1805.6496,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
101,FDD10,20.6,0.045797829,13,178.5344,OUT027,1985,2854.9504,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
102,FDW57,8.31,0.115857223,13,179.1028,OUT049,1999,3896.2616,26,9,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
103,DRB48,16.75,0.024832806,14,38.7822,OUT013,1987,667.7974,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False
104,FDP09,19.75,0.034027909,13,212.0902,OUT018,2009,3185.853,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
105,FDH14,17.1,0.0467696,3,141.1838,OUT013,1987,2247.7408,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
106,FDA47,10.5,0.116576702,0,163.121,OUT013,1987,1794.331,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
107,FDG12,6.635,0.06613202877895108,0,121.3098,OUT045,2002,2530.7058,23,7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
108,DRE60,9.395,0.278974075,14,225.372,OUT019,1985,679.116,40,4,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
109,DRK49,14.15,0.035913805,14,41.4138,OUT013,1987,812.276,38,1,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
110,FDD03,13.3,0.079806266,4,232.53,OUT046,1997,699.09,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False
111,FDS52,8.89,0.005505481,5,102.4016,OUT017,2007,2732.4432,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
112,FDW39,6.69,0.064625342,10,176.937,OUT019,1985,176.437,40,4,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
113,FDX34,6.195,0.071636937,13,121.7098,OUT027,1985,4097.3332,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
114,FDV11,9.1,0.06613202877895108,1,173.2054,OUT045,2002,3151.8972,23,7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
115,FDD17,7.5,0.032677678,5,239.0906,OUT049,1999,5942.265,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
116,FDZ16,16.85,0.160760054,5,192.4478,OUT017,2007,4843.695,18,2,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
117,FDZ46,7.485,0.06911065,13,109.0228,OUT035,2004,2542.0244,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
118,DRA12,11.6,0.041177505,14,140.3154,OUT017,2007,2552.6772,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
119,FDY58,11.65,0.040081193,13,227.0694,OUT018,2009,1141.847,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
120,NCF19,13.0,0.035307322,9,47.5034,OUT017,2007,680.4476,18,2,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
121,DRJ13,12.65,0.063017847,14,159.0578,OUT045,2002,2085.9514,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
122,FDB14,20.25,0.171938781,3,92.512,OUT010,1998,186.424,27,0,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
123,FDJ38,8.6,0.040197932,3,190.153,OUT035,2004,3036.048,21,6,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
124,FDW11,12.6,0.049058014,1,62.7194,OUT017,2007,866.8716,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
125,FDL40,17.7,0.01161096,5,95.041,OUT035,2004,868.869,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
126,DRI49,14.15,0.183507295,14,82.4276,OUT046,1997,1137.1864,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False
127,FDV38,19.25,0.102349519,4,52.7956,OUT017,2007,928.1252,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
128,DRG23,8.88,0.086708987,7,151.7682,OUT013,1987,762.341,38,1,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
129,NCP30,20.5,0.032835147,9,40.2822,OUT045,2002,707.0796,23,7,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
130,FDY25,12.0,0.033809913,3,180.5976,OUT027,1985,7968.2944,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
131,NCH54,13.5,0.07266912,9,160.292,OUT046,1997,1438.128,28,8,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True
132,NCR53,12.15,0.144338493,8,224.4404,OUT027,1985,6976.2524,40,5,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
133,FDS52,8.89,0.009163216,5,101.7016,OUT010,1998,101.2016,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
134,FDG02,7.855,0.011307038,3,188.5188,OUT018,2009,952.094,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
135,NCO26,7.235,0.076855628,9,116.0492,OUT046,1997,1969.4364,28,8,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True
136,FDH35,18.25,0.059956876,15,165.4526,OUT027,1985,5262.4832,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
137,FDB51,6.92,0.038532062,4,60.5852,OUT045,2002,1314.2892,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
138,FDX44,9.3,0.043209581,6,90.8172,OUT017,2007,535.3032,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
139,NCN07,18.5,0.056816465,11,132.1284,OUT010,1998,263.6568,27,0,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True
140,NCC31,8.02,0.019866705,9,154.5972,OUT035,2004,1402.1748,21,6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
141,NCX54,9.195,0.048331717,9,105.1622,OUT017,2007,1693.7952,18,2,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
142,NCO55,12.8,0.091221855,11,105.5938,OUT045,2002,2143.876,23,7,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
143,NCC30,16.6,0.027622076,9,177.6344,OUT049,1999,2676.516,26,9,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True
144,FDI16,14.0,0.06613202877895108,5,53.064,OUT035,2004,905.488,21,6,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
145,FDP16,18.6,0.039355947,5,246.3802,OUT049,1999,7370.406,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
146,FDB11,16.0,0.060836524,15,226.8404,OUT035,2004,6301.1312,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
147,NCB06,17.6,0.082316506,8,160.692,OUT035,2004,1597.92,21,6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
148,FDA45,21.25,0.155350299,13,178.237,OUT035,2004,529.311,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
149,NCO26,7.235,0.076841095,9,117.5492,OUT035,2004,1969.4364,21,6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
150,DRJ25,14.6,0.151419185,14,50.3692,OUT017,2007,1034.6532,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
151,FDR28,13.85,0.026001976,5,161.521,OUT018,2009,1794.331,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
152,FDI04,13.65,0.073209447,5,197.6426,OUT018,2009,2768.3964,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
153,DRK12,9.5,0.041683481,14,31.29,OUT027,1985,898.83,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
154,FDX20,7.365,0.042560252,6,226.172,OUT046,1997,3169.208,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False
155,NCI18,18.35,0.014081156,9,223.5746,OUT018,2009,3589.9936,16,3,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
156,FDB36,5.465,0.06613202877895108,0,132.5626,OUT018,2009,262.3252,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
157,FDN13,18.6,0.152918384,2,99.8358,OUT017,2007,1910.1802,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
158,DRD24,13.85,0.030969274,14,140.9154,OUT017,2007,1701.7848,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False
159,FDQ28,14.0,0.060376776,5,154.5656,OUT013,1987,2471.4496,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
160,FDM22,14.0,0.04192285,13,54.764,OUT013,1987,1331.6,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
161,FDR07,21.35,0.077367431,6,97.0094,OUT027,1985,1808.9786,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
162,FDV25,5.905,0.045838211,3,222.5456,OUT018,2009,3315.684,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
163,DRF49,7.27,0.071077939,14,114.2518,OUT046,1997,2618.5914,28,8,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False
164,FDW51,6.155,0.094659871,10,214.556,OUT046,1997,2769.728,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
165,DRL01,19.5,0.077608838,14,233.4958,OUT017,2007,5375.0034,18,2,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False
166,FDP25,15.2,0.021327477,3,216.8824,OUT017,2007,2838.9712,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
167,FDL50,12.15,0.042485444,3,125.0046,OUT018,2009,1743.0644,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
168,NCB30,14.6,0.025578526,9,198.8084,OUT027,1985,5555.4352,40,5,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
169,FDW11,12.6,0.0489808,1,61.9194,OUT018,2009,619.194,16,3,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
170,NCM43,14.5,0.019471688,11,164.821,OUT035,2004,2120.573,21,6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
171,FDK44,16.6,0.122918852,6,173.0738,OUT017,2007,3823.0236,18,2,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
172,FDM15,11.8,0.057373797,10,151.4366,OUT013,1987,1360.2294,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
173,FDS31,13.1,0.044155597,6,178.8318,OUT013,1987,3969.4996,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
174,FDI32,17.7,0.291865402,6,115.1834,OUT010,1998,345.5502,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
175,FDR47,17.85,0.06613202877895108,1,196.5794,OUT010,1998,585.2382,27,0,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
176,FDB35,12.3,0.064750025,15,92.6804,OUT045,2002,1010.6844,23,7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
177,NCU05,11.8,0.098312421,8,81.4618,OUT010,1998,161.1236,27,0,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True
178,DRY23,9.395,0.191013663,14,42.1112,OUT019,1985,42.6112,40,4,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False
179,FDO24,11.1,0.176573035,0,157.4604,OUT045,2002,3010.7476,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
180,FDQ28,14.0,0.060134441,5,153.0656,OUT027,1985,6024.1584,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
181,FDV39,11.3,0.007294652,10,198.1426,OUT045,2002,988.713,23,7,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
182,NCO17,10.0,0.128478462,8,117.944,OUT019,1985,239.688,40,4,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True
